Data;25463 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Cheque especial - % a.m.;25464 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado - % a.m.;25465 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas - % a.m.;25466 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor privado - % a.m.;25467 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor público - % a.m.;25468 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para aposentados e pensionistas do INSS - % a.m.;25469 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado total - % a.m.;25470 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal total - % a.m.;25471 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - % a.m.;25472 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Aquisição de outros bens - % a.m.
10/2012;6,92 ;4,41 ;2,95 ;2,29 ;1,74 ;2,00 ;1,86 ;2,71 ;1,57 ;4,47
11/2012;6,91 ;4,33 ;2,73 ;2,27 ;1,73 ;1,99 ;1,85 ;2,67 ;1,56 ;4,57
12/2012;6,87 ;4,34 ;2,64 ;2,24 ;1,71 ;1,99 ;1,84 ;2,65 ;1,51 ;4,74
01/2013;6,89 ;4,43 ;2,80 ;2,25 ;1,70 ;2,02 ;1,84 ;2,68 ;1,57 ;4,55
02/2013;6,89 ;4,52 ;2,86 ;2,26 ;1,73 ;2,02 ;1,86 ;2,72 ;1,58 ;4,47
03/2013;6,88 ;4,42 ;2,84 ;2,24 ;1,73 ;2,00 ;1,85 ;2,67 ;1,51 ;4,45
04/2013;6,86 ;4,41 ;2,81 ;2,24 ;1,71 ;1,99 ;1,84 ;2,65 ;1,53 ;4,43
05/2013;6,84 ;4,42 ;2,58 ;2,19 ;1,69 ;1,99 ;1,82 ;2,64 ;1,51 ;4,32
06/2013;6,86 ;4,66 ;2,64 ;2,18 ;1,70 ;1,99 ;1,83 ;2,72 ;1,49 ;4,33
07/2013;6,87 ;4,98 ;2,81 ;2,22 ;1,70 ;2,00 ;1,83 ;2,83 ;1,55 ;4,39
08/2013;6,90 ;4,98 ;2,70 ;2,23 ;1,71 ;2,01 ;1,84 ;2,83 ;1,62 ;4,38
09/2013;7,01 ;5,11 ;2,66 ;2,25 ;1,68 ;2,03 ;1,83 ;2,87 ;1,64 ;4,43
10/2013;7,04 ;5,39 ;2,81 ;2,28 ;1,70 ;2,03 ;1,85 ;2,98 ;1,59 ;4,58
11/2013;7,09 ;5,32 ;2,73 ;2,27 ;1,70 ;2,03 ;1,84 ;2,95 ;1,62 ;4,65
12/2013;7,16 ;5,31 ;2,58 ;2,19 ;1,69 ;2,03 ;1,83 ;2,93 ;1,62 ;4,93
01/2014;7,38 ;5,55 ;2,82 ;2,35 ;1,72 ;2,04 ;1,87 ;3,03 ;1,72 ;4,73
02/2014;7,46 ;5,73 ;2,81 ;2,35 ;1,74 ;2,07 ;1,89 ;3,10 ;1,80 ;4,79
03/2014;7,54 ;5,68 ;2,84 ;2,36 ;1,76 ;2,06 ;1,90 ;3,08 ;1,78 ;4,84
04/2014;7,62 ;5,91 ;2,75 ;2,36 ;1,76 ;2,06 ;1,90 ;3,16 ;1,71 ;4,89
05/2014;7,85 ;5,83 ;2,80 ;2,37 ;1,78 ;2,07 ;1,92 ;3,14 ;1,74 ;4,93
06/2014;7,95 ;5,95 ;2,82 ;2,38 ;1,78 ;2,07 ;1,92 ;3,18 ;1,74 ;4,91
07/2014;8,02 ;6,00 ;2,72 ;2,39 ;1,81 ;2,07 ;1,94 ;3,20 ;1,75 ;4,95
08/2014;8,05 ;5,95 ;2,72 ;2,41 ;1,81 ;2,07 ;1,94 ;3,18 ;1,76 ;4,99
09/2014;8,28 ;5,78 ;2,72 ;2,42 ;1,82 ;2,07 ;1,94 ;3,11 ;1,72 ;5,02
10/2014;8,40 ;6,10 ;2,69 ;2,48 ;1,77 ;2,07 ;1,92 ;3,21 ;1,74 ;4,93
11/2014;8,50 ;6,10 ;2,57 ;2,44 ;1,80 ;2,07 ;1,93 ;3,20 ;1,72 ;5,04
12/2014;8,78 ;6,03 ;2,56 ;2,47 ;1,81 ;2,08 ;1,94 ;3,17 ;1,69 ;5,13
