Data;25444 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Capital de giro total - % a.m.;25445 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Conta garantida - % a.m.;25446 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cheque especial - % a.m.;25447 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - % a.m.;25448 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Aquisição de outros bens - % a.m.;25449 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Aquisição de bens total - % a.m.;25450 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - % a.m.;25451 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de outros bens - % a.m.;25452 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil total - % a.m.;25453 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Vendor - % a.m.
12/2006;1,90 ;-;-;-;-;-;-;-;-;1,39
01/2007;1,91 ;-;-;-;-;-;-;-;-;1,33
02/2007;1,93 ;-;-;-;-;-;-;-;-;1,32
03/2007;1,86 ;-;-;-;-;-;-;-;-;1,29
04/2007;1,89 ;-;-;-;-;-;-;-;-;1,31
05/2007;1,84 ;-;-;-;-;-;-;-;-;1,28
06/2007;1,78 ;-;-;-;-;-;-;-;-;1,25
07/2007;1,69 ;-;-;-;-;-;-;-;-;1,19
08/2007;1,73 ;-;-;-;-;-;-;-;-;1,18
09/2007;1,73 ;-;-;-;-;-;-;-;-;1,23
10/2007;1,72 ;-;-;-;-;-;-;-;-;1,23
11/2007;1,70 ;-;-;-;-;-;-;-;-;1,22
12/2007;1,68 ;-;-;-;-;-;-;-;-;1,24
01/2008;1,76 ;-;-;-;-;-;-;-;-;1,33
02/2008;1,77 ;-;-;-;-;-;-;-;-;1,35
03/2008;1,80 ;-;-;-;-;-;-;-;-;1,34
04/2008;1,79 ;-;-;-;-;-;-;-;-;1,37
05/2008;1,84 ;-;-;-;-;-;-;-;-;1,45
06/2008;1,79 ;-;-;-;-;-;-;-;-;1,40
07/2008;1,85 ;-;-;-;-;-;-;-;-;1,42
08/2008;1,91 ;-;-;-;-;-;-;-;-;1,51
09/2008;1,92 ;-;-;-;-;-;-;-;-;1,54
10/2008;2,12 ;-;-;-;-;-;-;-;-;1,71
11/2008;2,17 ;-;-;-;-;-;-;-;-;1,87
12/2008;2,16 ;-;-;-;-;-;-;-;-;1,77
01/2009;2,11 ;-;-;-;-;-;-;-;-;1,67
02/2009;2,10 ;-;-;-;-;-;-;-;-;1,58
03/2009;1,90 ;-;-;-;-;-;-;-;-;1,45
04/2009;1,91 ;-;-;-;-;-;-;-;-;1,50
05/2009;1,83 ;-;-;-;-;-;-;-;-;1,39
06/2009;1,76 ;-;-;-;-;-;-;-;-;1,32
07/2009;1,70 ;-;-;-;-;-;-;-;-;1,23
08/2009;1,66 ;-;-;-;-;-;-;-;-;1,35
09/2009;1,65 ;-;-;-;-;-;-;-;-;1,29
10/2009;1,69 ;-;-;-;-;-;-;-;-;1,24
11/2009;1,60 ;-;-;-;-;-;-;-;-;1,29
12/2009;1,60 ;-;-;-;-;-;-;-;-;1,30
01/2010;1,66 ;-;-;-;-;-;-;-;-;1,27
02/2010;1,62 ;-;-;-;-;-;-;-;-;1,19
03/2010;1,62 ;-;-;-;-;-;-;-;-;1,15
04/2010;1,59 ;-;-;-;-;-;-;-;-;1,22
05/2010;1,65 ;-;-;-;-;-;-;-;-;1,27
06/2010;1,66 ;-;-;-;-;-;-;-;-;1,29
07/2010;1,71 ;-;-;-;-;-;-;-;-;1,33
08/2010;1,72 ;-;-;-;-;-;-;-;-;1,35
09/2010;1,73 ;-;-;-;-;-;-;-;-;1,39
10/2010;1,72 ;-;-;-;-;-;-;-;-;1,45
11/2010;1,67 ;-;-;-;-;-;-;-;-;1,35
12/2010;1,63 ;-;-;-;-;-;-;-;-;1,30
01/2011;1,71 ;-;-;-;-;-;-;-;-;1,45
02/2011;1,80 ;-;-;-;-;-;-;-;-;1,39
03/2011;1,77 ;2,77 ;8,54 ;1,61 ;1,60 ;1,61 ;1,33 ;1,19 ;1,27 ;1,40
04/2011;1,80 ;2,79 ;8,74 ;1,63 ;1,60 ;1,62 ;1,34 ;1,16 ;1,26 ;1,43
05/2011;1,79 ;2,84 ;8,72 ;1,61 ;1,68 ;1,62 ;1,37 ;1,19 ;1,29 ;1,48
06/2011;1,80 ;2,83 ;8,71 ;1,59 ;1,59 ;1,59 ;1,40 ;1,21 ;1,31 ;1,45
07/2011;1,82 ;2,84 ;8,74 ;1,60 ;1,51 ;1,59 ;1,40 ;1,16 ;1,29 ;1,46
08/2011;1,70 ;2,87 ;8,71 ;1,58 ;1,53 ;1,57 ;1,37 ;1,21 ;1,29 ;1,43
09/2011;1,73 ;2,88 ;8,74 ;1,54 ;1,54 ;1,54 ;1,34 ;1,19 ;1,27 ;1,31
10/2011;1,70 ;2,87 ;8,76 ;1,56 ;1,47 ;1,54 ;1,33 ;1,06 ;1,20 ;1,31
11/2011;1,66 ;2,88 ;8,80 ;1,47 ;1,46 ;1,47 ;1,32 ;1,11 ;1,22 ;1,31
12/2011;1,58 ;2,79 ;8,73 ;1,38 ;1,36 ;1,38 ;1,29 ;1,13 ;1,21 ;1,29
01/2012;1,65 ;2,86 ;8,69 ;1,45 ;1,42 ;1,44 ;1,27 ;1,09 ;1,17 ;1,29
02/2012;1,63 ;2,85 ;8,72 ;1,47 ;1,27 ;1,43 ;1,27 ;1,13 ;1,20 ;1,26
03/2012;1,59 ;2,81 ;8,62 ;1,43 ;1,35 ;1,42 ;1,28 ;1,11 ;1,19 ;1,24
04/2012;1,47 ;2,79 ;8,63 ;1,44 ;1,35 ;1,42 ;1,25 ;1,08 ;1,16 ;1,18
05/2012;1,36 ;2,77 ;8,40 ;1,37 ;1,23 ;1,34 ;1,23 ;1,01 ;1,11 ;1,17
06/2012;1,30 ;2,75 ;8,25 ;1,30 ;1,18 ;1,27 ;1,16 ;1,08 ;1,12 ;1,13
07/2012;1,33 ;2,74 ;8,18 ;1,29 ;1,15 ;1,27 ;1,11 ;0,99 ;1,04 ;1,08
08/2012;1,33 ;2,72 ;8,09 ;1,30 ;1,11 ;1,26 ;1,14 ;0,92 ;1,02 ;1,03
