Data;25454 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Compror - % a.m.;25455 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito rotativo - % a.m.;25456 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito parcelado - % a.m.;25457 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito total - % a.m.;25458 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Adiantamento sobre contratos de câmbio (ACC) - % a.m.;25459 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Financiamento a importações - % a.m.;25460 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Financiamento a exportações - % a.m.;25461 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Repasse externo - % a.m.;25462 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Total - % a.m.;27643 - Taxa média mensal de juros das operações de crédito não rotativo com recursos livres - Pessoas físicas - Total - % a.m.
06/2016;1,75 ;13,30 ;2,70 ;6,50 ;0,33 ;1,23 ;1,26 ;1,18 ;4,53 ;3,37
07/2016;1,77 ;13,23 ;3,00 ;6,56 ;0,32 ;1,41 ;1,35 ;0,92 ;4,56 ;3,39
08/2016;1,75 ;13,45 ;2,74 ;6,59 ;0,35 ;1,32 ;1,25 ;1,35 ;4,58 ;3,38
09/2016;1,76 ;13,49 ;2,59 ;6,48 ;0,32 ;1,23 ;1,29 ;1,02 ;4,65 ;3,41
10/2016;1,77 ;13,47 ;2,91 ;6,57 ;0,33 ;1,33 ;1,30 ;1,31 ;4,67 ;3,43
11/2016;1,74 ;13,59 ;2,69 ;6,62 ;0,37 ;1,29 ;1,20 ;1,18 ;4,67 ;3,42
12/2016;1,71 ;13,60 ;2,61 ;6,54 ;0,37 ;1,25 ;1,17 ;0,91 ;4,57 ;3,40
01/2017;1,76 ;13,66 ;2,54 ;6,68 ;0,33 ;1,07 ;1,19 ;0,87 ;4,61 ;3,42
02/2017;1,73 ;13,78 ;2,69 ;6,60 ;0,33 ;1,20 ;1,05 ;1,74 ;4,62 ;3,42
03/2017;1,60 ;13,31 ;2,41 ;5,57 ;0,32 ;1,17 ;1,07 ;1,04 ;4,58 ;3,34
04/2017;1,62 ;10,87 ;6,77 ;4,74 ;0,33 ;1,29 ;1,05 ;1,08 ;4,34 ;3,26
05/2017;1,53 ;10,92 ;8,08 ;4,58 ;0,36 ;1,08 ;0,98 ;0,87 ;4,11 ;3,29
06/2017;1,50 ;13,19 ;7,64 ;5,85 ;0,34 ;0,98 ;0,99 ;0,88 ;4,11 ;3,24
07/2017;1,46 ;14,18 ;7,18 ;6,81 ;0,29 ;1,03 ;1,00 ;0,96 ;4,19 ;3,33
08/2017;1,41 ;14,07 ;7,40 ;6,42 ;0,31 ;0,88 ;0,89 ;1,04 ;4,12 ;3,27
09/2017;1,39 ;11,86 ;7,49 ;5,23 ;0,30 ;0,88 ;0,90 ;0,97 ;3,92 ;3,23
10/2017;1,36 ;12,26 ;7,60 ;5,31 ;0,31 ;0,88 ;0,87 ;0,89 ;3,93 ;3,25
11/2017;1,29 ;12,34 ;7,56 ;5,14 ;0,34 ;0,79 ;0,86 ;0,84 ;3,88 ;3,17
12/2017;1,22 ;11,14 ;7,61 ;4,75 ;0,32 ;0,80 ;0,85 ;0,98 ;3,69 ;3,05
01/2018;1,21 ;12,16 ;7,67 ;5,14 ;0,31 ;0,61 ;0,79 ;0,86 ;3,72 ;3,13
02/2018;1,23 ;12,60 ;7,82 ;4,84 ;0,28 ;0,89 ;0,84 ;0,88 ;3,83 ;3,17
03/2018;1,21 ;12,63 ;7,72 ;4,56 ;0,31 ;0,77 ;0,78 ;0,82 ;3,81 ;3,15
04/2018;1,16 ;12,64 ;7,74 ;4,54 ;0,33 ;0,54 ;0,77 ;0,92 ;3,79 ;3,14
05/2018;1,13 ;12,15 ;7,80 ;4,06 ;0,34 ;1,01 ;0,77 ;0,78 ;3,61 ;3,04
06/2018;1,14 ;10,41 ;7,80 ;3,79 ;0,35 ;0,59 ;0,74 ;0,82 ;3,57 ;3,03
07/2018;1,15 ;10,31 ;7,84 ;3,76 ;0,31 ;0,98 ;0,84 ;0,67 ;3,51 ;3,07
08/2018;1,14 ;10,87 ;7,85 ;3,34 ;0,33 ;0,77 ;0,81 ;0,89 ;3,49 ;3,07
09/2018;1,17 ;9,50 ;7,80 ;3,22 ;0,34 ;0,21 ;0,85 ;1,00 ;3,50 ;3,07
10/2018;1,16 ;10,11 ;7,78 ;3,29 ;0,34 ;0,54 ;0,83 ;0,82 ;3,50 ;3,11
11/2018;1,11 ;10,52 ;7,76 ;3,13 ;0,38 ;0,98 ;0,84 ;0,87 ;3,49 ;3,06
12/2018;1,14 ;9,46 ;7,84 ;2,96 ;0,36 ;0,50 ;0,75 ;0,73 ;3,33 ;2,92
01/2019;1,16 ;9,51 ;7,96 ;3,17 ;0,37 ;0,51 ;0,64 ;0,85 ;3,46 ;3,03
02/2019;1,13 ;9,26 ;7,90 ;2,60 ;0,39 ;0,64 ;0,66 ;0,78 ;3,55 ;3,10
03/2019;1,12 ;7,13 ;8,23 ;2,21 ;0,34 ;0,64 ;0,71 ;0,81 ;3,59 ;3,11
04/2019;1,11 ;8,92 ;8,08 ;2,63 ;0,36 ;0,64 ;0,69 ;0,69 ;3,58 ;3,13
05/2019;1,09 ;8,74 ;8,20 ;2,44 ;0,34 ;0,58 ;0,69 ;0,75 ;3,54 ;3,07
06/2019;1,14 ;5,95 ;8,14 ;1,94 ;0,29 ;0,52 ;0,68 ;0,72 ;3,56 ;3,06
07/2019;1,12 ;7,17 ;8,16 ;2,57 ;0,31 ;0,50 ;0,69 ;0,67 ;3,50 ;3,03
08/2019;1,07 ;8,04 ;8,11 ;2,44 ;0,31 ;0,70 ;0,70 ;0,74 ;3,48 ;3,00
09/2019;1,05 ;6,79 ;8,02 ;2,07 ;0,29 ;0,53 ;0,66 ;0,64 ;3,43 ;2,92
10/2019;0,98 ;9,33 ;7,86 ;2,50 ;0,30 ;0,44 ;0,62 ;0,64 ;3,35 ;2,77
11/2019;0,99 ;9,02 ;8,04 ;2,25 ;0,28 ;0,47 ;0,60 ;0,67 ;3,38 ;2,78
12/2019;0,97 ;6,83 ;7,46 ;1,98 ;0,26 ;0,11 ;0,61 ;0,67 ;3,21 ;2,69
01/2020;0,95 ;10,22 ;7,98 ;3,70 ;0,30 ;0,48 ;0,53 ;0,61 ;3,19 ;2,82
02/2020;0,96 ;8,59 ;7,97 ;2,28 ;0,28 ;0,54 ;0,53 ;0,52 ;3,25 ;2,85
03/2020;0,90 ;5,59 ;7,97 ;2,19 ;0,26 ;0,99 ;0,56 ;0,68 ;3,23 ;2,74
04/2020;0,75 ;9,01 ;7,40 ;4,34 ;0,38 ;0,51 ;0,58 ;0,63 ;3,08 ;2,59
05/2020;0,63 ;8,67 ;7,17 ;2,92 ;0,38 ;0,37 ;0,61 ;0,55 ;3,02 ;2,55
06/2020;0,61 ;5,26 ;5,64 ;1,80 ;0,34 ;0,44 ;0,56 ;0,86 ;2,85 ;2,45
07/2020;0,56 ;4,37 ;5,97 ;1,59 ;0,33 ;0,32 ;0,61 ;0,46 ;2,79 ;2,40
08/2020;0,60 ;7,06 ;6,03 ;2,03 ;0,30 ;0,35 ;0,60 ;0,38 ;2,74 ;2,37
09/2020;0,59 ;6,40 ;5,93 ;1,67 ;0,29 ;0,40 ;0,56 ;0,47 ;2,69 ;2,34
10/2020;0,58 ;7,95 ;6,16 ;1,95 ;0,29 ;0,36 ;0,53 ;0,54 ;2,74 ;2,45
11/2020;0,62 ;8,45 ;6,63 ;1,79 ;0,27 ;0,29 ;0,74 ;0,46 ;2,68 ;2,40
12/2020;0,65 ;8,43 ;6,58 ;1,73 ;0,26 ;0,33 ;0,61 ;0,28 ;2,61 ;2,35
01/2021;0,72 ;9,57 ;6,80 ;2,06 ;0,28 ;0,86 ;0,67 ;0,81 ;2,75 ;2,51
02/2021;0,70 ;9,35 ;6,85 ;2,00 ;0,26 ;0,51 ;0,67 ;0,59 ;2,80 ;2,55
03/2021;0,68 ;7,80 ;6,96 ;1,86 ;0,20 ;0,35 ;0,75 ;0,59 ;2,84 ;2,59
04/2021;0,72 ;8,99 ;6,93 ;2,20 ;0,19 ;0,42 ;0,74 ;1,03 ;2,87 ;2,63
