Data;25436 - Taxa média mensal de juros das operações de crédito com recursos livres - Total - % a.m.;25437 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Total - % a.m.;25438 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Desconto de duplicatas e recebíveis - % a.m.;25439 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Desconto de cheques - % a.m.;25440 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Antecipação de faturas de cartão de crédito - % a.m.;25441 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo de até 365 dias - % a.m.;25442 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo superior a 365 dias - % a.m.;25443 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Capital de giro rotativo - % a.m.;27641 - Taxa média mensal de juros não rotativo das operações de crédito com recursos livres - Total - % a.m.;27642 - Taxa média mensal de juros das operações de crédito não rotativo com recursos livres - Pessoas jurídicas - Total - % a.m.
12/2018;2,54 ;1,45 ;1,27 ;2,56 ;1,17 ;1,32 ;1,26 ;1,86 ;2,03 ;1,06
01/2019;2,67 ;1,55 ;1,65 ;2,55 ;1,33 ;1,40 ;1,32 ;2,20 ;2,14 ;1,14
02/2019;2,72 ;1,51 ;1,59 ;2,58 ;1,21 ;1,39 ;1,28 ;2,09 ;2,17 ;1,10
03/2019;2,74 ;1,51 ;1,45 ;2,54 ;1,18 ;1,43 ;1,28 ;2,05 ;2,17 ;1,09
04/2019;2,74 ;1,52 ;1,58 ;2,53 ;1,26 ;1,33 ;1,29 ;2,07 ;2,19 ;1,10
05/2019;2,71 ;1,49 ;1,44 ;2,45 ;1,27 ;1,34 ;1,26 ;2,05 ;2,15 ;1,07
06/2019;2,69 ;1,43 ;1,36 ;2,40 ;1,04 ;1,26 ;1,20 ;1,89 ;2,12 ;1,02
07/2019;2,68 ;1,47 ;1,48 ;2,41 ;1,17 ;1,25 ;1,19 ;1,93 ;2,12 ;1,05
08/2019;2,67 ;1,44 ;1,38 ;2,37 ;1,11 ;1,43 ;1,20 ;1,96 ;2,11 ;1,05
09/2019;2,59 ;1,34 ;1,26 ;2,30 ;0,99 ;1,13 ;1,19 ;1,80 ;2,04 ;0,99
10/2019;2,54 ;1,34 ;1,32 ;2,30 ;0,97 ;1,07 ;1,14 ;1,83 ;1,94 ;0,97
11/2019;2,56 ;1,33 ;1,24 ;2,28 ;0,95 ;1,07 ;1,15 ;1,74 ;1,95 ;0,96
12/2019;2,42 ;1,26 ;1,16 ;2,23 ;0,76 ;0,95 ;1,09 ;1,59 ;1,86 ;0,91
01/2020;2,45 ;1,36 ;1,33 ;2,26 ;0,82 ;1,06 ;1,20 ;1,96 ;1,97 ;0,98
02/2020;2,48 ;1,31 ;1,19 ;2,26 ;0,73 ;1,11 ;1,13 ;1,79 ;1,97 ;0,92
03/2020;2,42 ;1,28 ;1,13 ;2,21 ;0,67 ;1,02 ;1,14 ;1,69 ;1,88 ;0,90
04/2020;2,27 ;1,23 ;1,16 ;2,06 ;0,75 ;0,69 ;1,05 ;1,97 ;1,75 ;0,87
05/2020;2,18 ;1,11 ;1,14 ;1,90 ;0,63 ;0,69 ;0,99 ;1,67 ;1,70 ;0,83
06/2020;2,04 ;1,01 ;0,96 ;1,89 ;0,57 ;0,62 ;0,93 ;1,59 ;1,63 ;0,78
07/2020;2,00 ;0,97 ;0,98 ;1,89 ;0,60 ;0,61 ;0,91 ;1,66 ;1,61 ;0,77
08/2020;1,96 ;0,97 ;0,92 ;1,89 ;0,60 ;0,65 ;0,94 ;1,61 ;1,58 ;0,77
09/2020;1,90 ;0,91 ;0,82 ;1,89 ;0,56 ;0,59 ;0,87 ;1,50 ;1,54 ;0,73
10/2020;1,95 ;0,94 ;0,87 ;1,86 ;0,57 ;0,57 ;0,94 ;1,56 ;1,61 ;0,77
11/2020;1,93 ;0,96 ;0,83 ;1,81 ;0,60 ;0,61 ;0,91 ;1,55 ;1,60 ;0,78
12/2020;1,88 ;0,92 ;0,75 ;1,91 ;0,57 ;0,60 ;0,86 ;1,88 ;1,56 ;0,74
01/2021;2,07 ;1,18 ;0,89 ;2,07 ;0,62 ;1,75 ;1,12 ;2,13 ;1,77 ;0,99
02/2021;2,06 ;1,08 ;0,87 ;2,06 ;0,58 ;0,81 ;1,09 ;1,99 ;1,74 ;0,88
03/2021;2,08 ;1,08 ;0,81 ;2,07 ;0,58 ;0,94 ;1,08 ;1,98 ;1,75 ;0,88
04/2021;2,12 ;1,15 ;0,88 ;2,01 ;0,60 ;0,98 ;1,12 ;1,96 ;1,81 ;0,93
05/2021;2,08 ;1,14 ;0,94 ;2,01 ;0,65 ;1,01 ;1,11 ;2,05 ;1,77 ;0,93
06/2021;2,07 ;1,13 ;0,85 ;2,02 ;0,67 ;1,04 ;1,11 ;2,32 ;1,77 ;0,92
07/2021;2,10 ;1,21 ;0,97 ;2,03 ;0,71 ;1,08 ;1,15 ;2,60 ;1,79 ;0,98
08/2021;2,16 ;1,26 ;0,99 ;2,05 ;0,77 ;1,23 ;1,20 ;2,37 ;1,85 ;1,03
09/2021;2,21 ;1,32 ;1,00 ;2,13 ;0,77 ;1,25 ;1,32 ;2,50 ;1,89 ;1,09
10/2021;2,34 ;1,45 ;1,11 ;2,29 ;0,83 ;1,68 ;1,46 ;3,01 ;2,02 ;1,20
11/2021;2,42 ;1,53 ;1,20 ;2,32 ;1,00 ;1,46 ;1,56 ;3,10 ;2,11 ;1,30
12/2021;2,43 ;1,51 ;1,22 ;2,33 ;1,05 ;1,50 ;1,52 ;2,94 ;2,13 ;1,28
01/2022;2,52 ;1,62 ;1,37 ;2,40 ;1,13 ;1,62 ;1,63 ;3,18 ;2,18 ;1,35
02/2022;2,59 ;1,63 ;1,39 ;2,50 ;1,10 ;1,57 ;1,65 ;3,18 ;2,21 ;1,36
03/2022;2,64 ;1,63 ;1,41 ;2,51 ;1,19 ;1,67 ;1,66 ;2,53 ;2,26 ;1,37
04/2022;2,68 ;1,69 ;1,48 ;2,55 ;1,25 ;1,75 ;1,64 ;2,63 ;2,27 ;1,39
05/2022;2,69 ;1,66 ;1,52 ;2,55 ;1,33 ;1,63 ;1,65 ;2,36 ;2,28 ;1,39
06/2022;2,75 ;1,71 ;1,50 ;2,64 ;1,38 ;1,67 ;1,72 ;2,95 ;2,33 ;1,44
07/2022;2,83 ;1,76 ;1,55 ;2,67 ;1,38 ;1,76 ;1,73 ;2,85 ;2,36 ;1,47
08/2022;2,84 ;1,72 ;1,54 ;2,70 ;1,37 ;1,78 ;1,65 ;2,63 ;2,35 ;1,44
09/2022;2,83 ;1,73 ;1,50 ;2,75 ;1,34 ;1,69 ;1,68 ;2,40 ;2,32 ;1,43
10/2022;2,94 ;1,75 ;1,56 ;2,75 ;1,33 ;1,66 ;1,67 ;2,37 ;2,38 ;1,44
11/2022;2,99 ;1,76 ;1,55 ;2,78 ;1,33 ;1,54 ;1,72 ;2,39 ;2,40 ;1,48
12/2022;2,91 ;1,74 ;1,51 ;2,77 ;1,32 ;1,75 ;1,72 ;2,56 ;2,36 ;1,48
01/2023;2,99 ;1,87 ;1,72 ;2,89 ;1,32 ;1,71 ;1,83 ;2,71 ;2,43 ;1,55
02/2023;3,03 ;1,79 ;1,60 ;2,93 ;1,31 ;1,75 ;1,82 ;2,50 ;2,44 ;1,50
03/2023;3,05 ;1,80 ;1,59 ;2,95 ;1,29 ;1,77 ;1,77 ;2,42 ;2,45 ;1,49
04/2023;3,11 ;1,78 ;1,63 ;2,98 ;1,25 ;1,86 ;1,73 ;2,27 ;2,49 ;1,46
05/2023;3,10 ;1,78 ;1,61 ;2,98 ;1,30 ;1,85 ;1,72 ;2,29 ;2,47 ;1,45
06/2023;3,05 ;1,72 ;1,54 ;2,91 ;1,30 ;1,78 ;1,64 ;2,32 ;2,44 ;1,39
07/2023;3,03 ;1,74 ;1,61 ;2,90 ;1,25 ;1,85 ;1,69 ;2,18 ;2,45 ;1,42
08/2023;3,01 ;1,71 ;1,54 ;2,91 ;1,23 ;1,85 ;1,65 ;2,18 ;2,42 ;1,38
09/2023;3,00 ;1,74 ;1,43 ;2,90 ;1,14 ;2,02 ;1,66 ;2,10 ;2,40 ;1,37
10/2023;2,97 ;1,74 ;1,51 ;2,86 ;1,13 ;2,05 ;1,61 ;2,11 ;2,40 ;1,37
11/2023;2,95 ;1,70 ;1,43 ;2,78 ;1,09 ;2,47 ;1,59 ;2,01 ;2,44 ;1,38
12/2023;2,88 ;1,60 ;1,37 ;2,71 ;0,98 ;1,86 ;1,52 ;2,05 ;2,39 ;1,29
01/2024;2,86 ;1,71 ;1,45 ;2,67 ;0,99 ;2,23 ;1,60 ;2,06 ;2,39 ;1,34
02/2024;2,86 ;1,64 ;1,37 ;2,66 ;0,97 ;2,28 ;1,55 ;2,25 ;2,41 ;1,31
03/2024;2,87 ;1,61 ;1,29 ;2,63 ;0,93 ;1,75 ;1,47 ;2,28 ;2,41 ;1,25
04/2024;2,86 ;1,62 ;1,34 ;2,64 ;0,94 ;1,66 ;1,51 ;2,15 ;2,39 ;1,26
05/2024;2,84 ;1,58 ;1,30 ;2,60 ;0,99 ;1,99 ;1,48 ;2,10 ;2,40 ;1,25
06/2024;2,84 ;1,59 ;1,24 ;2,54 ;1,04 ;2,15 ;1,51 ;2,13 ;2,40 ;1,27
